Identifiant de l'accident;Date et heure;Commune;Année;Mois;Jour;Heure minute;Lumière;Localisation;Intersection;Conditions atmosphériques;Collision;Département;Code commune;Code Insee;Adresse;Latitude;Longitude;Code Postal;Numéro;Coordonnées;PR;Surface;V1;Circulation;Voie réservée;Env1;Voie;Largeur de la chaussée;V2;Largeur terre plein central;Nombre de voies;Catégorie route;PR1;Plan;Profil;Infrastructure;Situation;Année de naissance;Sexe;Action piéton;Gravité;Existence équipement de sécurité;Utilisation équipement de sécurité;Localisation du piéton;Identifiant véhicule;Place;Catégorie d'usager;Piéton seul ou non;Motif trajet;Point de choc;Manœuvre;Sens;Obstacle mobile heurté;Obstacle fixe heurté;Catégorie véhicule;Nombre d'occupants;Gps;date;year_georef;Nom Officiel Commune;Code Officiel Département;Nom Officiel Département;Code Officiel EPCI;Nom Officiel EPCI;Code Officiel Région;Nom Officiel Région;Nom Officiel Commune / Arrondissement Municipal;Code Officiel Commune
201700033679;2017-10-16T17:23:00+02:00;Perpignan;2017;10;16;17:23;Plein jour;En agglomération;2;Normale;Deux véhicules – par le coté;66;136;66136;JULIEN PANCHOT (AVENUE);4269000;0287980;66100;;;;normale;;Bidirectionnelle;;00;0;80;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1965,1975;Masculin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant droit,Avant gauche;Dépassant A gauche,Tournant A gauche;;Véhicule,Véhicule;;Motocyclette > 125 cm3,VL seul;;Métropole;;2017;Perpignan;66;Pyrénées-Orientales;200027183;CU Perpignan Méditerranée Métropole;76;Occitanie;Perpignan;66136
201700033727;2017-06-07T19:04:00+02:00;La Trinite;2017;06;07;19:04;Plein jour;En agglomération;1;Normale;Deux véhicules – par l’arrière;06;149;06149;Pénétrante du Paillon;4373443;0730176;06340;;;6;normale;;A chaussées séparées;;99;0;0;;0;4;Route Départementale;500;Partie rectiligne;Plat;;Sur bande d’arrêt d’urgence;1957,1973;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Non déterminable;;B01,A01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Autre;Arrière droit,Côté droit;Déporté A droite,Même sens;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule;Glissière métallique;VL seul,Scooter > 125 cm3;;Métropole;;2017;La Trinité;06;Alpes-Maritimes;200030195;Métropole Nice Côte d'Azur;93;Provence-Alpes-Côte d'Azur;La Trinité;06149
201700033731;2017-08-23T09:30:00+02:00;La Trinite;2017;08;23;09:30;Plein jour;Hors agglomération;1;Normale;Autre collision;06;149;06149;117 route de laghet;4374758;0733224;06340;117;43.747894, 7.333414;4;normale;;Bidirectionnelle;;99;2204;79;A;0;2;Route Départementale;45;Partie rectiligne;Pente;;Sur chaussée;1971,1998;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Tué;Autre,Casque;Non déterminable,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Utilisation professionnelle,Domicile – travail;Avant,Avant;Arrêté (hors stationnement),Sans changement de direction;PK ou PR ou numéro d’adresse postale décroissant;Véhicule,Véhicule;;Engin spécial,Motocyclette > 125 cm3;;Métropole;;2017;La Trinité;06;Alpes-Maritimes;200030195;Métropole Nice Côte d'Azur;93;Provence-Alpes-Côte d'Azur;La Trinité;06149
201700033738;2017-06-15T10:40:00+02:00;Neuwiller-les-saverne;2017;06;15;10:40;Plein jour;En agglomération;1;Normale;Deux véhicules – par l’arrière;67;322;67322;RUE DE LA GARE;4882198;0741367;67330;;48.822491, 7.414838;;normale;;Bidirectionnelle;;99;0;41;;0;1;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1948,1964,1996;Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne;Casque,Ceinture,Ceinture;Oui,Oui,Oui;;A01,B01;1,1,2;Conducteur,Conducteur,Passager;;Promenade – loisirs,Autre;Arrière droit,Avant droit;En marche arrière,Sans changement de direction;;Autre,Véhicule;;VL seul,Bicyclette;;Métropole;;2017;Neuwiller-lès-Saverne;67;Bas-Rhin;200067783;CC de Hanau-la Petite Pierre;44;Grand Est;Neuwiller-lès-Saverne;67322
201700033755;2017-04-13T07:25:00+02:00;Long;2017;04;13;07:25;Plein jour;Hors agglomération;1;Normale;Deux véhicules – par l’arrière;80;486;80486;A 16 - 156+282;5005901;0199688;80510;16;;156;normale;;A sens unique;;99;16;72;;0;2;Autoroute;282;Partie rectiligne;Plat;;Sur chaussée;1991,1961,2005;Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Tué;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;A01,B01;1,1,2;Conducteur,Conducteur,Passager;;Utilisation professionnelle,Utilisation professionnelle,Promenade – loisirs;Avant,Arrière;Même sens,Même sens;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule;;VU seul 1,PL > 3;;Métropole;;2017;Long;80;Somme;200070936;CC Ponthieu-Marquenterre;32;Hauts-de-France;Long;80486
201700033831;2017-12-29T12:00:00+01:00;Pirey;2017;12;29;12:00;Plein jour;Hors agglomération;1;Normale;Deux véhicules - frontale;25;454;25454;route départementale 75;4726269;0597495;25480;75;;2;normale;;Bidirectionnelle;;99;75;72;;0;2;Route Départementale;540;Partie rectiligne;Plat;;Sur chaussée;1975,1985;Masculin,Masculin;Se déplaçant,Se déplaçant;Tué,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Courses – achats,Utilisation professionnelle;Avant gauche,Avant gauche;Déporté A gauche;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale décroissant;Véhicule,Véhicule;;VL seul,PL seul > 7;;Métropole;;2017;Pirey;25;Doubs;242500361;CA du Grand Besançon;27;Bourgogne-Franche-Comté;Pirey;25454
201700033839;2017-03-01T09:10:00+01:00;Haguenau;2017;03;01;09:10;Plein jour;Hors agglomération;4;Normale;Deux véhicules - frontale;67;180;67180;RD263;;;67500;263;48.8162, 7.787039;31;normale;;Bidirectionnelle;;99;0;82;;0;3;Route Départementale;0;Partie rectiligne;Plat;;Sur chaussée;1965,1989;Féminin,Masculin;Se déplaçant,Se déplaçant;Blessé,Blessé;Ceinture,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Utilisation professionnelle,Domicile – travail;Avant gauche,Avant droit;Sans changement de direction,Tournant A gauche;PK ou PR ou numéro d’adresse postale décroissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;VL seul,VL seul;;;;2017;Haguenau;67;Bas-Rhin;200067874;CA de Haguenau;44;Grand Est;Haguenau;67180
201700033853;2017-05-01T06:10:00+02:00;Haguenau;2017;05;01;06:10;Plein jour;Hors agglomération;1;Normale;Autre collision;67;180;67180;RD 72;;;67500;72;48.8162, 7.787039;6;normale;;Bidirectionnelle;;99;0;60;;0;2;Route Départementale;800;En courbe à droite;Pente;;Sur accotement;1994;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Promenade – loisirs;Avant;Déporté A gauche;PK ou PR ou numéro d’adresse postale croissant;;Fossé;VL seul;;;;2017;Haguenau;67;Bas-Rhin;200067874;CA de Haguenau;44;Grand Est;Haguenau;67180
201700033860;2017-06-01T07:35:00+02:00;Haguenau;2017;06;01;07:35;Plein jour;Hors agglomération;8;Normale;Sans collision;67;180;67180;MARIENTHAL (ROUTE DE);4878952;0780955;67500;;48.801497, 7.800125;0;normale;;Bidirectionnelle;;99;0;64;;0;2;Voie Communale;1;Partie rectiligne;Plat;;Sur chaussée;2001,2003,1988,2003;Masculin,Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne,Blessé;Ceinture,Autre,Ceinture,Autre;Oui,Non déterminable,Oui,Non;;A01;8,5,1,6;Passager,Passager,Conducteur,Passager;;Domicile – école,Domicile – école,Utilisation professionnelle;;Sans changement de direction;PK ou PR ou numéro d’adresse postale décroissant;;;Autobus;;Métropole;;2017;Haguenau;67;Bas-Rhin;200067874;CA de Haguenau;44;Grand Est;Haguenau;67180
201700033868;2017-06-23T13:10:00+02:00;Haguenau;2017;06;23;13:10;Plein jour;En agglomération;3;Normale;Deux véhicules – par l’arrière;67;180;67180;WOERTH (ROUTE DE);4882605;0779252;67500;;48.828418, 7.791504;0;normale;;Bidirectionnelle;;99;0;62;;0;2;Voie Communale;1;Partie rectiligne;Plat;;Sur chaussée;1963,1997;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Courses – achats,Promenade – loisirs;Avant,Arrière;Même sens,Arrêté (hors stationnement);PK ou PR ou numéro d’adresse postale décroissant,PK ou PR ou numéro d’adresse postale décroissant;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2017;Haguenau;67;Bas-Rhin;200067874;CA de Haguenau;44;Grand Est;Haguenau;67180
201700033895;2017-11-30T15:50:00+01:00;Haguenau;2017;11;30;15:50;Crépuscule ou aube;En agglomération;3;Pluie légère;Deux véhicules – par le coté;67;180;67180;1, SANDLACH (CHEMIN DE L;4882862;0775660;67500;1;48.831082, 7.7587;0;mouillée;;Bidirectionnelle;;99;0;52;;0;2;Voie Communale;1;Partie rectiligne;Plat;;Sur trottoir;1954,2000;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Domicile – travail;Avant,Côté gauche;En s’insérant,Traversant la chaussée;PK ou PR ou numéro d’adresse postale décroissant,PK ou PR ou numéro d’adresse postale décroissant;Véhicule,Véhicule;;VL seul,Bicyclette;;Métropole;;2017;Haguenau;67;Bas-Rhin;200067874;CA de Haguenau;44;Grand Est;Haguenau;67180
201700033911;2017-11-12T17:12:00+01:00;Neydens;2017;11;12;17:12;Crépuscule ou aube;Hors agglomération;1;Pluie forte;Trois véhicules et plus – en chaîne;74;201;74201;A41 - PK 155+2;4611200;0609273;74160;41;;155;mouillée;;A chaussées séparées;;99;41;70;;6;4;Autoroute;200;En courbe à gauche;Pente;;Sur chaussée;1981,1962,1993,1978,1985,1973,2007,1986,1989,1962,1993,1991,1968,1991,1994,2014,1990,1990,1967,1957,2015;Masculin,Féminin,Féminin,Masculin,Masculin,Masculin,Féminin,Masculin,Féminin,Masculin,Féminin,Masculin,Féminin,Masculin,Féminin,Masculin,Masculin,Masculin,Masculin,Féminin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Indemne,Blessé,Indemne,Indemne,Indemne,Blessé;Ceinture,Ceinture,Ceinture,Ceinture,Ceinture,Ceinture,Dispositif enfants,Ceinture,Ceinture,Ceinture,Ceinture,Ceinture,Ceinture,Ceinture,Ceinture,Dispositif enfants,Ceinture,Ceinture,Ceinture,Ceinture,Ceinture;Oui,Oui,Oui,Oui,Oui,Non déterminable,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui;;B01,G01,I01,D01,H01,J01,A01,F01,C01,E01;1,9,2,1,1,1,7,1,2,1,2,7,2,1,2,9,1,1,1,2,9;Conducteur,Passager,Passager,Conducteur,Conducteur,Conducteur,Passager,Conducteur,Passager,Conducteur,Passager,Passager,Passager,Conducteur,Passager,Passager,Conducteur,Conducteur,Conducteur,Passager,Passager;;Autre,Promenade – loisirs,Courses – achats,Promenade – loisirs,Courses – achats,Courses – achats,Promenade – loisirs,Courses – achats,Autre,Promenade – loisirs,Promenade – loisirs,Promenade – loisirs,Promenade – loisirs,Courses – achats,Courses – achats,Autre,Promenade – loisirs,Courses – achats,Courses – achats;Arrière droit,Avant,Arrière gauche,Arrière,Avant,Avant,Avant,Arrière droit,Avant gauche,Avant;Sans changement de direction,Sans changement de direction,Sans changement de direction,Sans changement de direction,Sans changement de direction,Sans changement de direction,Sans changement de direction,Sans changement de direction,Sans changement de direction,Sans changement de direction;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule,Véhicule,Véhicule,Véhicule,Véhicule,Véhicule,Véhicule,Véhicule,Véhicule;Véhicule en stationnement,Glissière métallique;VL seul,VL seul,VL seul,VL seul,VL seul,VL seul,VL seul,VL seul,VL seul,VL seul;;Métropole;;2017;Neydens;74;Haute-Savoie;247400690;CC du Genevois;84;Auvergne-Rhône-Alpes;Neydens;74201
201700033958;2017-02-15T14:53:00+01:00;Selestat;2017;02;15;14:53;Plein jour;Hors agglomération;3;Normale;Autre collision;67;462;67462;RN 59;4826749;0742935;67600;59;48.258797, 7.452921;1;normale;;Bidirectionnelle;Piste cyclable;99;0;0;;0;2;Route Départementale;0;Partie rectiligne;Plat;;;1991,1974,1999;Masculin,Féminin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne;Casque,Ceinture,Ceinture;Oui,Oui,Oui;;A01,B01;1,1,2;Conducteur,Conducteur,Passager;;Promenade – loisirs,Autre;Avant gauche,Côté droit;Tournant A gauche,Dépassant A gauche;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;VL seul,Motocyclette > 125 cm3;;Métropole;;2017;Sélestat;67;Bas-Rhin;246700967;CC de Sélestat;44;Grand Est;Sélestat;67462
201700033962;2017-06-08T08:23:00+02:00;Selestat;2017;06;08;08:23;Plein jour;En agglomération;1;Temps éblouissant;Autre collision;67;462;67462;LOUIS PASTEUR (AVENUE);4826000;0743000;67600;;48.263046, 7.437481;1;normale;;Bidirectionnelle;;99;0;0;;0;2;Voie Communale;0;Partie rectiligne;Plat;;Sur chaussée;1953,1970;Féminin,Féminin;Traversant,Se déplaçant;Blessé,Indemne;Ceinture;Oui;Sur passage piéton - Sans signalisation lumineuse;A01;1;Piéton,Conducteur;Seul;;Avant gauche;Sans changement de direction;PK ou PR ou numéro d’adresse postale croissant;Piéton;Bordure de trottoir;VL seul;;Métropole;;2017;Sélestat;67;Bas-Rhin;246700967;CC de Sélestat;44;Grand Est;Sélestat;67462
201700034015;2017-03-06T20:00:00+01:00;Strasbourg;2017;03;06;20:00;Nuit avec éclairage public allumé;En agglomération;3;Pluie légère;Deux véhicules - frontale;67;482;67482;0, RHIN TORTU (RUE DU);4854382;0775838;67100;0;48.547467, 7.758068;;mouillée;;Bidirectionnelle;Piste cyclable;00;0;60;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1957,1960;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;;Avant droit,Avant;Sans changement de direction,Tournant A gauche;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;Scooter > 125 cm3,VL seul;;Métropole;;2017;Strasbourg;67;Bas-Rhin;246700488;Eurométropole de Strasbourg;44;Grand Est;Strasbourg;67482
201700034018;2017-03-08T15:45:00+01:00;Strasbourg;2017;03;08;15:45;Plein jour;En agglomération;1;Pluie légère;Autre collision;67;482;67482;180, ROMAINS (ROUTE DES);4857894;0770001;67100;180;48.526593, 7.768178;;mouillée;;Bidirectionnelle;;00;0;26;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;2011,1939;Masculin,Féminin;Jouant – courant,Se déplaçant;Blessé,Indemne;Ceinture;Oui;Sur passage piéton - Sans signalisation lumineuse;A01;1;Piéton,Conducteur;Accompagné;Promenade – loisirs,Promenade – loisirs;Avant;Sans changement de direction;PK ou PR ou numéro d’adresse postale croissant;Piéton;;VL seul;;Métropole;;2017;Strasbourg;67;Bas-Rhin;246700488;Eurométropole de Strasbourg;44;Grand Est;Strasbourg;67482
201700034137;2017-06-20T18:00:00+02:00;Bischheim;2017;06;20;18:00;Plein jour;En agglomération;1;Normale;Autre collision;67;043;67043;17, NATIONALE (RUE);4861471;0775515;67800;17;48.614658, 7.755193;;normale;;A sens unique;;00;0;35;;0;1;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1974,1981;Féminin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Autre,Ceinture;Non déterminable,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant gauche,Avant;En stationnement (avec occupants),Sans changement de direction;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2017;Bischheim;67;Bas-Rhin;246700488;Eurométropole de Strasbourg;44;Grand Est;Bischheim;67043
201700034169;2017-07-15T20:35:00+02:00;Strasbourg;2017;07;15;20:35;Crépuscule ou aube;En agglomération;1;Normale;Sans collision;67;482;67482;0, MONTAGNE VERTE (RUE D;4857035;0773777;67100;0;;;normale;;Bidirectionnelle;;00;0;78;;0;0;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1969;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Promenade – loisirs;Avant;Tournant A droite;PK ou PR ou numéro d’adresse postale croissant;;Autre obstacle fixe sur chaussée;VL seul;;Métropole;;2017;Strasbourg;67;Bas-Rhin;246700488;Eurométropole de Strasbourg;44;Grand Est;Strasbourg;67482
